ref_hash,obj
1000169251625791246_st,53176.80859375
1000395625957344683_st,71119.0859375
1003027494996471685_st,28854.52734375
1006670001679961544_st,142611.890625
1007573308966476713_st,105014.8359375
1010070503877148763_st,238717.390625
1010265377387765028_st,237822.953125
1010531372912327058_st,63264.4375
1011610998357271358_st,30877.853515625
1013543838965040946_st,42361.75390625
1014428234021750342_st,235848.21875
101763096421653092_st,151166.109375
1017668882534236751_st,86932.8671875
1017958004932387739_st,79688.1171875
1018126962792619181_st,239377.515625
1021582875881379650_st,237756.40625
1022093956983448460_st,239286.296875
1022155574388897311_st,42344.73046875
1024792555410741306_st,238433.140625
1026825193119998092_st,249022.46875
1030603044158081433_st,28483.39453125
1030865855693267844_st,237822.953125
1032938399279723623_st,33759.875
1036919443887988520_st,162879.65625
1037575899869926_st,36761.234375
1042912100594917197_st,77603.5859375
104412862089502190_st,237822.953125
1048460865075142817_st,159503.703125
1048487908287530052_st,34386.8671875
1048782984015604883_st,237760.15625
1052346027668414186_st,73507.53125
1052782935269141271_st,237822.953125
105337483767914646_st,47393.41015625
1053399148291039201_st,53608.16015625
1054881396892383323_st,41147.36328125
1055760083915480820_st,105014.8359375
1056749944537419493_st,16544.955078125
1058525390691423513_st,36629.2890625
1062274422372114651_st,237822.953125
1069066119870904979_st,89757.953125
1070673984959261173_st,129546.09375
1071701264087131067_st,23006.37109375
1076086792264173440_st,30822.728515625
1078063581723896055_st,68758.2265625
1078643268919016184_st,239590.1875
1080074517463091765_st,77002.8984375
108091152851614035_st,81710.515625
1082062519835461489_st,32026.94921875
1083324672128707147_st,66035.4921875
1084673948755476350_st,67696.2421875
108675559753870541_st,39755.64453125
1090348823218637154_st,84707.4765625
1091213713572176533_st,237822.953125
1092578651697005865_st,237822.953125
109389620877102250_st,16445.955078125
1095130837096278807_st,137340.609375
1097690588650818183_st,103112.828125
1098333517628887771_st,239698.359375
1098698655660153317_st,34325.625
1100694657931150169_st,80289.9140625
1102680423242413676_st,19188.072265625
1106971792117053344_st,242105.765625
1108571703275362862_st,128012.3203125
1109716870153151001_st,8095.6650390625
1110652558277138855_st,43916.7578125
1111065470587874091_st,18169.876953125
111177788438165194_st,80166.8828125
1113913537041480485_st,104177.078125
1114026657194419748_st,57667.89453125
1114323564105303141_st,40451.67578125
1114508230319864946_st,45803.375
1115138041376043539_st,69841.828125
1117590669569321964_st,75593.1328125
1117811498061299916_st,78392.8125
1118296407046663101_st,104092.1640625
1119031235556320896_st,5357.04296875
11222455493472018_st,10432.625
1123499146680162742_st,142153.5625
1126070781577415060_st,31667.44921875
1126877271043713659_st,237822.953125
1128648311587971120_st,8039.29150390625
1128814228344083814_st,66425.9375
1129766292147277557_st,32815.4375
1131546864431701911_st,29918.734375
1136031752303953778_st,140809.1875
1136471390576544145_st,84131.953125
1137626983589975828_st,136881.109375
1145009605155104884_st,26539.416015625
1149958127364605785_st,36434.3671875
1151346651469575337_st,149075.65625
1153540947733791830_st,63126.1796875
1156275031468463136_st,237822.953125
1156694545460335017_st,43926.5078125
115885348859837276_st,34017.2890625
1159207938497285892_st,96165.6796875
1160971248791325717_st,73497.4453125
1161843904632575594_st,237822.953125
1167633864786053186_st,139194.359375
1168157541031578455_st,56520.45703125
1170926351229275807_st,8039.29150390625
1175385689997483703_st,228595.359375
1175791667336060650_st,240808.75
1176502947759067386_st,237756.40625
1176818370378839086_st,84610.421875
1179211379479512284_st,137970.53125
1186516249413150404_st,238616.46875
1187615102176685882_st,69391.671875
1187995611677437206_st,29693.2890625
1190424870217036395_st,47616.875
1191960282997642823_st,237822.953125
1194162776830151855_st,65428.51171875
1199641757841499367_st,29213.828125
1200899806989014770_st,239222.734375
1204574205636847942_st,21245.76171875
1205014055416064598_st,70662.4375
1206234638304930993_st,237822.953125
1207737003178589247_st,50209.97265625
1209201922567589129_st,71452.015625
1209266135065312559_st,49004.5859375
1209684448831341752_st,85785.03125
1216484723925399897_st,29789.03125
1216551715294982491_st,157615.234375
122031620643150233_st,83346.25
1225293060838887434_st,102037.09375
1227457012435462438_st,237822.953125
1229609562842818924_st,87483.4140625
1231413972006880331_st,233015.78125
1232605060713570544_st,150047.421875
1233658583417535945_st,99580.4296875
1234527712464722201_st,74928.71875
1236618452781354742_st,32899.92578125
123979484119113285_st,-6708.00830078125
1248297595627780685_st,95453.3515625
125102898244387791_st,86246.46875
1251678112439909237_st,49819.2421875
1251711610192393941_st,56584.78125
1252375118134913744_st,23958.236328125
1253893505327217043_st,68273.2421875
1257211796115020351_st,22530.49609375
1260244248473048882_st,31946.927734375
1264022936299507076_st,81844.1640625
1265362887592424102_st,237822.953125
126760379585103536_st,77084.1875
1268668663105484535_st,65016.33203125
1268988768599406958_st,238717.390625
1269617022810318893_st,93471.03125
12710129175666777_st,112956.484375
127181479361225903_st,237822.953125
1280782500667332514_st,92260.09375
1281391375697256626_st,66941.078125
1281554246271544540_st,61703.4765625
1283079572748604544_st,66708.8828125
1284329121151747079_st,237822.953125
1286394024293955508_st,99426.265625
12880076216702587_st,16423.19140625
1289461437081782083_st,23180.474609375
1293570292730365189_st,78146.6328125
1293698919678093585_st,102546.7421875
1295673566983281594_st,107192.9375
12977391562678610_st,61634.3046875
1299921942054010422_st,22559.447265625
130079406502638965_st,41250.0078125
1301976825595357150_st,48867.8828125
1302737911806151146_st,237822.953125
1307116007931231623_st,103917.6484375
